iter	RMSE
0	13081.96699
1	12797.91018
2	12571.86821
3	12311.45661
4	12167.29178
5	11945.62665
6	11715.33403
7	11513.42589
8	11261.84767
9	11120.72204
10	10949.05711
11	10805.8195
12	10648.00879
13	10458.17132
14	10348.69369
15	10202.77912
16	10034.24887
17	9880.17178
18	9766.930757
19	9648.787949
20	9566.796619
21	9475.091707
22	9353.400215
23	9204.152237
24	9138.093009
25	9040.874771
26	8977.946339
27	8912.388722
28	8810.022797
29	8720.67725
30	8630.464192
31	8546.385324
32	8486.877213
33	8431.582872
34	8373.286612
35	8296.895378
36	8263.905612
37	8207.061946
38	8157.576023
39	8114.942959
40	8063.708783
41	7962.702978
42	7924.607055
43	7921.304808
44	7837.886213
45	7793.044065
46	7747.961377
47	7693.756359
48	7647.166167
49	7622.238129
50	7560.161657
51	7507.458362
52	7472.506077
53	7460.981124
54	7388.814322
55	7340.773728
56	7321.031468
57	7295.030779
58	7241.508666
59	7192.565879
60	7184.14552
61	7137.408249
62	7120.325465
63	7086.945766
64	7056.944521
65	7023.85607
66	6974.784835
67	6971.519017
68	6961.492413
69	6907.598791
70	6857.125107
71	6832.976615
72	6800.648338
73	6797.841941
74	6756.042395
75	6702.43379
76	6648.862073
77	6615.858256
78	6586.586881
79	6550.408022
80	6509.023078
81	6484.903192
82	6450.382578
83	6416.182247
84	6398.652613
85	6371.619107
86	6369.82636
87	6354.063455
88	6344.020833
89	6335.999063
90	6299.589455
91	6293.248593
92	6272.428347
93	6247.652675
94	6221.084805
95	6217.129314
96	6191.418771
97	6160.430732
98	6136.615605
99	6124.61998
100	6123.078995
101	6099.684606
102	6093.833441
103	6093.725486
104	6070.997004
105	6043.358463
106	6002.296631
107	5973.363169
108	5948.874739
109	5925.913103
110	5898.513882
111	5862.690113
112	5836.514865
113	5804.997873
114	5793.737742
115	5789.684717
116	5770.008455
117	5766.109433
118	5758.780079
119	5754.750953
120	5753.704225
121	5740.563818
122	5735.025939
123	5723.865021
124	5716.979107
125	5711.922034
126	5689.1211
127	5688.002126
128	5684.212322
129	5661.806754
130	5653.959252
131	5647.191338
132	5646.008811
133	5642.751352
134	5615.493089
135	5604.409905
136	5596.144077
137	5595.32644
138	5586.73459
139	5584.333001
140	5582.900273
141	5563.913519
142	5562.832617
143	5553.086451
144	5544.318702
145	5535.221125
146	5513.68682
147	5501.394557
148	5487.746672
149	5471.818168
150	5464.2413
151	5436.727923
152	5416.246943
153	5414.61504
154	5408.358522
155	5392.743424
156	5376.244021
157	5370.041624
158	5360.199672
159	5358.826679
160	5357.231573
161	5333.921565
162	5328.649302
163	5323.243244
164	5298.126973
165	5278.056703
166	5273.909588
167	5262.778985
168	5251.840354
169	5237.967423
170	5221.741756
171	5220.465468
172	5207.069938
173	5199.464772
174	5188.133433
175	5170.316014
176	5161.247027
177	5151.556012
178	5136.615321
179	5112.190591
180	5103.070462
181	5100.999646
182	5082.375518
183	5060.227602
184	5058.760866
185	5048.013482
186	5031.91998
187	5006.495572
188	5003.231768
189	4994.088117
190	4988.011985
191	4987.280078
192	4986.535565
193	4975.758802
194	4963.417765
195	4951.063048
196	4950.33186
197	4937.359839
198	4930.155661
199	4916.787897
200	4916.110128
201	4914.446632
202	4902.197094
203	4896.53582
204	4870.184835
205	4869.361964
206	4844.911717
207	4844.281128
208	4828.710997
209	4807.060867
210	4792.799712
211	4777.686895
212	4770.484602
213	4751.580342
214	4725.54922
215	4724.600358
216	4712.482692
217	4677.330306
218	4652.367584
219	4646.920046
220	4639.770617
221	4626.518682
222	4621.430498
223	4605.781693
224	4605.189638
225	4591.675728
226	4570.872862
227	4560.060663
228	4559.398835
229	4541.661471
230	4531.820931
231	4524.233766
232	4523.143705
233	4518.608366
234	4502.072797
235	4496.519479
236	4482.084795
237	4469.894725
238	4466.873151
239	4461.502804
240	4459.116157
241	4447.344155
242	4439.476396
243	4427.279234
244	4423.002193
245	4415.603573
246	4413.350657
247	4403.158113
248	4397.669482
249	4386.812981
250	4378.787072
251	4366.239021
252	4344.561049
253	4336.678529
254	4322.757051
255	4313.125516
256	4302.564739
257	4294.446431
258	4288.900933
259	4286.373949
260	4275.366178
261	4273.150485
262	4265.887629
263	4263.640192
264	4250.508741
265	4236.786597
266	4231.291373
267	4219.976386
268	4215.600446
269	4212.485373
270	4196.89788
271	4186.616821
272	4183.234649
273	4178.467311
274	4166.659102
275	4163.958464
276	4159.893094
277	4143.965863
278	4126.802226
279	4119.142923
280	4104.54903
281	4099.586974
282	4084.490236
283	4082.050533
284	4079.51235
285	4058.265224
286	4045.408921
287	4038.929562
288	4020.682291
289	4019.385859
290	4014.108376
291	4005.064451
292	3988.032753
293	3968.280031
294	3948.103484
295	3931.307424
296	3930.96703
297	3917.431319
298	3909.471005
299	3903.224967
300	3900.2824
301	3891.295949
302	3882.207146
303	3862.940161
304	3858.933019
305	3852.360403
306	3846.126035
307	3833.218797
308	3827.85404
309	3813.510775
310	3805.841069
311	3800.288944
312	3794.431532
313	3787.501266
314	3778.638472
315	3773.129435
316	3766.939855
317	3760.062968
318	3754.542557
319	3745.834294
320	3744.005442
321	3732.0786
322	3720.723768
323	3712.82278
324	3706.813189
325	3705.971633
326	3698.507054
327	3681.874917
328	3673.038925
329	3672.726452
330	3668.277869
331	3668.141128
332	3664.554454
333	3651.912045
334	3646.416084
335	3641.739039
336	3641.604083
337	3638.576642
338	3632.362586
339	3632.050006
340	3624.634502
341	3614.181369
342	3613.91917
343	3605.658184
344	3598.768229
345	3588.172569
346	3582.155865
347	3578.053464
348	3568.151093
349	3563.95567
350	3563.677636
351	3562.247
352	3558.486096
353	3558.125559
354	3546.046484
355	3545.096134
356	3538.636481
357	3533.057202
358	3523.742478
359	3519.242547
360	3516.271091
361	3510.348376
362	3506.151276
363	3499.467332
364	3499.064986
365	3497.559982
366	3494.323593
367	3485.880106
368	3472.13694
369	3463.145656
370	3450.665924
371	3446.535296
372	3445.774003
373	3440.114876
374	3437.129805
375	3430.593182
376	3421.355953
377	3414.518821
378	3408.355516
379	3403.021566
380	3393.968811
381	3392.855768
382	3375.218382
383	3367.611383
384	3358.347523
385	3351.536336
386	3349.355562
387	3342.551626
388	3335.616757
389	3332.602089
390	3328.799644
391	3322.361383
392	3310.41717
393	3296.158074
394	3293.573056
395	3290.759469
396	3289.285236
397	3281.477534
398	3280.182734
399	3274.312296
400	3268.900277
401	3266.928888
402	3258.170764
403	3255.829295
404	3251.188068
405	3248.136444
406	3243.372558
407	3240.310047
408	3226.841466
409	3224.214429
410	3215.796715
411	3212.049616
412	3202.341382
413	3200.848333
414	3194.783236
415	3188.536625
416	3186.399416
417	3176.275266
418	3172.730658
419	3168.879837
420	3168.794547
421	3156.553495
422	3153.475647
423	3142.314369
424	3136.263805
425	3126.820491
426	3120.312356
427	3115.604086
428	3110.010297
429	3105.851463
430	3100.910328
431	3086.663776
432	3071.953889
433	3069.048626
434	3065.338881
435	3053.699609
436	3043.685844
437	3029.823242
438	3020.577426
439	3012.300373
440	3000.066058
441	2992.097974
442	2978.90705
443	2968.178874
444	2962.156707
445	2954.005047
446	2951.241395
447	2949.458004
448	2939.768302
449	2930.576553
450	2926.312008
451	2922.452413
452	2914.666984
453	2912.091911
454	2900.75301
455	2887.611982
456	2876.81862
457	2875.543731
458	2867.174538
459	2862.380663
460	2857.832322
461	2847.916598
462	2838.815012
463	2832.079342
464	2825.644912
465	2817.0414
466	2813.851167
467	2808.392586
468	2802.329008
469	2793.066511
470	2787.671565
471	2779.153145
472	2776.031898
473	2770.299034
474	2760.371389
475	2753.605947
476	2750.429196
477	2748.461905
478	2738.718826
479	2735.513857
480	2726.636864
481	2709.053131
482	2705.303505
483	2695.151707
484	2690.723793
485	2688.031799
486	2686.177115
487	2680.789024
488	2680.016851
489	2675.179655
490	2669.630721
491	2665.659648
492	2656.298299
493	2650.226801
494	2647.324352
495	2642.371917
496	2634.523017
497	2629.244631
498	2623.514295
499	2617.663578
