iter	Passed	Remaining
0	155	77801
1	184	45829
2	210	34901
3	298	37020
4	376	37311
5	460	37903
6	537	37838
7	620	38186
8	684	37358
9	756	37051
10	823	36612
11	877	35683
12	908	34045
13	987	34276
14	1041	33668
15	1073	32486
16	1104	31372
17	1159	31047
18	1213	30715
19	1280	30739
20	1311	29924
21	1341	29150
22	1371	28436
23	1402	27808
24	1436	27290
25	1466	26737
26	1497	26239
27	1524	25703
28	1549	25168
29	1575	24688
30	1602	24246
31	1628	23820
32	1654	23414
33	1681	23042
34	1707	22686
35	1733	22342
36	1758	22007
37	1784	21698
38	1810	21398
39	1836	21115
40	1860	20832
41	1886	20571
42	1913	20333
43	1927	19973
44	1953	19749
45	1979	19533
46	2005	19327
47	2031	19130
48	2057	18933
49	2082	18739
50	2108	18559
51	2133	18383
52	2161	18226
53	2190	18090
54	2217	17939
55	2242	17782
56	2267	17624
57	2293	17475
58	2319	17334
59	2345	17198
60	2359	16978
61	2387	16867
62	2417	16770
63	2443	16646
64	2469	16527
65	2495	16408
66	2521	16294
67	2547	16183
68	2574	16081
69	2602	15984
70	2628	15884
71	2655	15782
72	2681	15686
73	2705	15574
74	2735	15500
75	2760	15401
76	2785	15302
77	2811	15208
78	2836	15116
79	2863	15031
80	2890	14954
81	2917	14872
82	2943	14787
83	2968	14700
84	2993	14616
85	3019	14537
86	3028	14375
87	3053	14298
88	3078	14218
89	3104	14140
90	3128	14063
91	3150	13970
92	3175	13897
93	3201	13827
94	3227	13759
95	3257	13707
96	3282	13639
97	3307	13567
98	3332	13499
99	3357	13430
100	3378	13345
101	3402	13276
102	3428	13214
103	3441	13103
104	3466	13040
105	3492	12979
106	3517	12917
107	3541	12855
108	3567	12798
109	3595	12746
110	3621	12689
111	3646	12633
112	3673	12580
113	3699	12526
114	3725	12471
115	3751	12420
116	3780	12375
117	3807	12327
118	3833	12274
119	3858	12219
120	3879	12151
121	3905	12101
122	3930	12048
123	3955	11995
124	3980	11942
125	4005	11889
126	4030	11837
127	4046	11761
128	4071	11709
129	4097	11661
130	4122	11611
131	4147	11563
132	4175	11520
133	4200	11472
134	4225	11424
135	4250	11376
136	4275	11328
137	4296	11270
138	4322	11227
139	4349	11185
140	4376	11142
141	4402	11098
142	4429	11058
143	4455	11014
144	4480	10969
145	4507	10929
146	4537	10895
147	4567	10862
148	4599	10836
149	4628	10799
150	4653	10755
151	4678	10710
152	4703	10666
153	4727	10622
154	4753	10579
155	4779	10538
156	4804	10496
157	4831	10457
158	4857	10418
159	4879	10368
160	4906	10331
161	4932	10291
162	4959	10253
163	4987	10217
164	5012	10177
165	5038	10137
166	5063	10096
167	5089	10057
168	5114	10017
169	5139	9977
170	5165	9937
171	5190	9898
172	5215	9858
173	5240	9819
174	5264	9777
175	5290	9738
176	5315	9699
177	5340	9661
178	5368	9626
179	5396	9593
180	5422	9556
181	5448	9519
182	5475	9485
183	5501	9447
184	5526	9409
185	5551	9371
186	5578	9337
187	5604	9301
188	5630	9265
189	5656	9228
