key,job_url,title,salary,location,experience,education,recruit_count,update_time,company_name,company_link,job_description,language_requirement,industry_requirement,work_time,company_tags,crawl_time,company_industry,company_scale,month_salary_min,month_salary_max,month_salary_avg,location_city,location_province,location_partition,company_scale_min,company_scale_max,recruit_count_parsed,experience_level,has_language_requirement,has_weekend_off,update_time_parsed,category
C++开发,https://www.liepin.com/job/1982515683.shtml,C++服务器-战斗开发,25-35k,上海-浦东新区,5年以上,本科,招1人,5月13日更新,盛趣信息技术（上海）有限公司,https://www.liepin.com/company/7882074/,"岗位职责：
1. 开发战斗系统(AI、技能、场景实体等)
2. 副本逻辑
3. 建立反作弊机制,保障战斗公平性
4. 服务器性能优化

任职要求：
1. 5年以上C++开发经验
2. 有上线MMO或ARPG项目经验
3. 熟悉Navmesh,有怪物AI、战斗系统开发经验
4. 精通C/C++、STL,对内存有深刻理解;
5. 熟悉常见服务器架构,熟悉常用性能优化手段
6. 熟悉MySQL,Redis等数据库
7. 熟悉TCP/UDP等网络通信协议
8. 熟悉Lua语言优先",,全部行业,,"['高新技术企业', '绩效奖金', '带薪年假', '节日礼物', '定期体检']",2026-05-15 19:24:39.560607,游戏,1000-2000人,25000.0,35000.0,30000.0,上海,上海市,华东地区,1000.0,2000.0,1.0,5-10年,False,False,2026-05-13,C++开发
C++开发,https://www.liepin.com/job/1981483469.shtml,上位机技术经理,25-45k,东莞-凤岗镇,5-10年,本科,招1人,5月6日更新,深圳摩罗志远科技有限公司,https://www.liepin.com/company/9115715/,"岗位职责：


1.负责上位机软件开发技术管理，擅长 Windows/Mac跨平台开发技术，熟悉Windows/Mac系统驱动开发技术；
2.主导公司音频硬件设备配套上位机软件体系可持续发展的技术规划、架构设计与版本迭代规划；
3.把控产品需求到技术需求和任务的拆解、排期、质量、风险，保证项目按时高质量交付；
4.带领团队解决技术难点，包括设备驱动、设备通信、音频处理、低延迟传输、跨平台兼容性、系统稳定性、系统可维护性和可扩展性等；
5.与硬件团队、产品团队、嵌入式团队和其他应用开发团队紧密协作，推动软硬一体化方案落地；
6.团队建设、招聘、培养、绩效考核与技术氛围提升。
7.关注行业技术趋势，持续优化技术栈与研发效率，支撑业务快速发展。

任职要求：
1、学历与专业：本科及以上学历，计算机科学与技术、软件工程、电子信息工程等相关专业，5年以上软件开发经验，2年以上软件团队管理经验。
2、技术能力：精通上位机软件开发，熟练掌握C++开发语言。熟练使用Qt开发应用软件；熟悉串口、USB、网络等通信协议，熟悉Windows和Mac跨平台开发技术，有智能硬件（音频类优先）上位机开发经验者优先；熟悉软件模块化设计、面向对象编程，具备独立完成核心模块开发和技术攻坚的能力。
3、项目与管理能力：具备完整的应用软件项目全流程管理经验，能高效管控多项目并行；具备优秀的团队管理、人员培养能力，擅长需求拆解、资源分配和进度把控。
4、行业经验：了解智能音频硬件产品的工作原理、调试流程，有研产销一体企业工作经验者优先，熟悉生产自动化优化流程加分。
5、思维与沟通：逻辑清晰，具备良好的需求分析和问题解决能力；沟通协调能力强，能高效对接跨部门协同工作，推动问题闭环。
6、职业素养：对软件技术发展有浓厚兴趣，具备创新意识和攻坚精神，责任心强，能承受一定工作压力，注重细节和软件质量。",,全部行业,,"['高新技术企业', '专精特新企业', '岗位晋升', '扁平管理', '技能培训', '五险一金', '节日礼物', '团队聚餐', '管理规范', '年度旅游', '绩效奖金', '带薪年假', '通讯津贴']",2026-05-15 19:24:54.070106,批发/零售,100-499人,25000.0,45000.0,35000.0,东莞,广东省,华南地区,100.0,499.0,1.0,5-10年,False,False,2026-05-06,C++开发
C++开发,https://www.liepin.com/job/1982356865.shtml,软件工程师,15-25k·13薪,深圳-南山区,3-5年,统招本科,招1人,5月14日更新,深圳市御膳智能,https://www.liepin.com/company/13192255/,"岗位职责：
1.负责上位机软件开发;
2.负责需求规格书、方案设计、概要设计、详细设计及自测文档撰写
3.完成软件编码及功能开发、解决测试问题，负责软件生命周期维护
4.负责上位机前沿技术的追踪和应用，分析同行业其它软件的功能
5.完成上级安排的其它事项

任职资格：
1.计算机、机械、自动化相关专业本科或以上学历，拥有3年以上QT、C++开发经验，熟悉QT/QML编程
2.熟悉数据结构及算法、设计模式、多线程、内存管理、数据库等方面的编程，具备较强的软件问题定位与排查能力。
3.精通界面开发，具有界面设计能力，对工业软件人机界面及交互有独到见解； 
4.具有较强的学习、沟通、合作、抗压能力；
5.有强烈学习新场景、新技能、新知识的意愿；
6.有机器视觉、工业自动化控制相关行业经验尤佳；",,全部行业,周末双休·弹性工作,"['五险一金', '弹性工作', '绩效奖金']",2026-05-15 19:25:13.395890,互联网,1-49人,16250.0,27083.0,21666.0,深圳,广东省,华南地区,1.0,49.0,1.0,3-5年,False,True,2026-05-14,C++开发
C++开发,https://www.liepin.com/job/1982336551.shtml,C++,10-14k,深圳-龙岗区,经验不限,本科,招1人,5月8日更新,中软国际科技,https://www.liepin.com/company/7927849/,"岗位职责:  
1. 负责软件系统的开发、编码与维护工作  
2. 使用C++进行高效、稳定的程序设计与实现  
3. 参与技术方案讨论并配合团队完成项目目标  
4. 持续优化代码性能，提升系统运行效率  
5. 根据项目需求完成相关技术文档编写  

任职要求：  
1. 熟练掌握C++编程语言及相关开发工具  
2. 具备扎实的编程基础和良好的代码规范  
3. 具有较强的问题分析与解决能力  
4. 具备良好的沟通能力和团队协作意识  
5. 能够在规定时间内完成开发任务并保证质量",,全部行业,,"['高新技术企业', '瞪羚企业', '绩效奖金', '带薪年假', '岗位晋升', '技能培训', '管理规范', '定期体检', '弹性工作', '节日礼物', '领导好']",2026-05-15 19:25:54.883123,IT服务,10000人以上,10000.0,14000.0,12000.0,深圳,广东省,华南地区,10000.0,99999.0,1.0,经验不限,False,False,2026-05-08,C++开发
C++开发,https://www.liepin.com/job/1969464959.shtml,C++开发助理（数学）,8-14k·14薪,杭州-余杭区,经验不限,统招本科,招1人,5月9日更新,浙江大学控制科学与工程学院,https://www.liepin.com/company/12860255/,"职责描述：
1、负责数字孪生软件平台（编辑、编译、仿真、模型等）的设计、开发、实现、测试和维护；
2、负责数值求解库（如SUNDIALS等）的软件拓展和维护；
3、参与项目需求评审、编写产品设计、开发技术文档等。

任职要求：
1、具有本科及以上学历；
2、数学、物理、计算机、自动化、电子与信息技术或其他理工类专业背景，有志于从事软件开发工作；
3、具有较强的逻辑分析和学习接受能力，耐心细致，动手能力强；
4、有创新能力和发展潜力，愿意从事科学研究；
5、熟练掌握Java、C/C++、Python、GO等任一编程语言，熟悉Linux操作系统；
6、遵纪守法、品行端正、身体健康、工作负责、不怕辛苦，具有较强团队合作意识和良好的沟通能力；
7、有相关系统研发经验者优先。

人才发展规划: 
1. 新人培养规划： 
第1-2个月培训，第3个月开始评估级等（评估后薪资可高于OFFER工资）；第6个月评估级等（如高于目前级等可再次涨薪）。
2. 薪资成长通道： 
转正后员工每年6月和12月定期评估。对优秀人员依据《职业晋升通道》和《岗位薪资级等》进行薪资调整，通过审批后次月涨薪。 

相关福利： 
1.工资构成：基本工资+项目奖励+年度奖金 ；
2.入职即可申请500-800元住宿补贴；
3.五险一金+带薪培训+免费中/晚餐+节日礼金+年度体检+健身房等等。

该岗位为浙大NGICS大平台在招岗位，由大平台考核录用及管理。",,全部行业,,"['午餐补助', '定期体检', '五险一金', '技能培训', '绩效奖金']",2026-05-15 19:26:21.519406,专业技术服务,100-499人,9333.0,16333.0,12833.0,杭州,浙江省,华东地区,100.0,499.0,1.0,经验不限,False,False,2026-05-09,C++开发
C++开发,https://www.liepin.com/a/75099175.shtml,C++,20-25k,武汉,1-3年,大专,招1人,4月30日更新,瑞贝斯（合肥）人力资源有限公司,,"岗位职责：
1、参与Linux下C++应用程序设计、开发、测试；
2、输出设计文档、代码、测试用例/报告；
任职要求：
1、大专及以上学历
2、有Linux基础和C++语言编程功底，有较强的逻辑思维能力和动手能力；
3、良好的团队合作意识和抗压能力，具备开放的心态和主动的学习能力",不限,游戏,,[],2026-05-15 19:26:43.365286,游戏,,20000.0,25000.0,22500.0,武汉,湖北省,华中地区,,,1.0,1-3年,False,False,2026-04-30,C++开发
C++开发,https://www.liepin.com/job/1969498135.shtml,C++开发（物理专业优先）,8-14k·14薪,杭州-余杭区,经验不限,统招本科,招1人,5月9日更新,浙江大学控制科学与工程学院,https://www.liepin.com/company/12860255/,"职责描述：
1、负责数字孪生软件平台（编辑、编译、仿真、模型等）的设计、开发、实现、测试和维护；
2、负责数值求解库（如SUNDIALS等）的软件拓展和维护；
3、参与项目需求评审、编写产品设计、开发技术文档等。

任职要求：
1、具有本科及以上学历；
2、数学、物理、计算机、自动化、电子与信息技术或其他理工类专业背景，有志于从事软件开发工作；
3、具有较强的逻辑分析和学习接受能力，耐心细致，动手能力强；
4、有创新能力和发展潜力，愿意从事科学研究；
5、熟练掌握Java、C/C++、Python、GO等任一编程语言，熟悉Linux操作系统；
6、遵纪守法、品行端正、身体健康、工作负责、不怕辛苦，具有较强团队合作意识和良好的沟通能力；
7、有相关系统研发经验者优先。

人才发展规划: 
1. 新人培养规划： 
第1-2个月培训，第3个月开始评估级等（评估后薪资可高于OFFER工资）；第6个月评估级等（如高于目前级等可再次涨薪）。
2. 薪资成长通道： 
转正后员工每年6月和12月定期评估。对优秀人员依据《职业晋升通道》和《岗位薪资级等》进行薪资调整，通过审批后次月涨薪。 

相关福利： 
1.工资构成：基本工资+项目奖励+年度奖金 ；
2.入职即可申请500-800元住宿补贴；
3.五险一金+带薪培训+免费中/晚餐+节日礼金+年度体检+健身房等等。

该岗位为浙大NGICS大平台在招岗位，由大平台考核录用及管理。",,全部行业,,"['午餐补助', '定期体检', '五险一金', '技能培训', '绩效奖金']",2026-05-15 19:27:16.889418,专业技术服务,100-499人,9333.0,16333.0,12833.0,杭州,浙江省,华东地区,100.0,499.0,1.0,经验不限,False,False,2026-05-09,C++开发
C++开发,https://www.liepin.com/job/1970410059.shtml,初级C++开发（物理专业优先）,15-20k·14薪,杭州-余杭区,经验不限,统招本科,招1人,5月9日更新,浙江大学控制科学与工程学院,https://www.liepin.com/company/12860255/,"职责描述：
1、负责数字孪生软件平台（编辑、编译、仿真、模型等）的设计、开发、实现、测试和维护；
2、负责数值求解库（如SUNDIALS等）的软件拓展和维护；
3、参与项目需求评审、编写产品设计、开发技术文档等。

任职要求：
1、具有本科及以上学历；
2、数学、物理、计算机、自动化、电子与信息技术或其他理工类专业背景，有志于从事软件开发工作；
3、具有较强的逻辑分析和学习接受能力，耐心细致，动手能力强；
4、有创新能力和发展潜力，愿意从事科学研究；
5、熟练掌握Java、C/C++、Python、GO等任一编程语言，熟悉Linux操作系统；
6、遵纪守法、品行端正、身体健康、工作负责、不怕辛苦，具有较强团队合作意识和良好的沟通能力；
7、有相关系统研发经验者优先。

人才发展规划: 
1. 新人培养规划： 
第1-2个月培训，第3个月开始评估级等（评估后薪资可高于OFFER工资）；第6个月评估级等（如高于目前级等可再次涨薪）。
2. 薪资成长通道： 
转正后员工每年6月和12月定期评估。对优秀人员依据《职业晋升通道》和《岗位薪资级等》进行薪资调整，通过审批后次月涨薪。 

相关福利： 
1.工资构成：基本工资+项目奖励+年度奖金 ；
2.入职即可申请500-800元住宿补贴；
3.五险一金+带薪培训+免费中/晚餐+节日礼金+年度体检+健身房等等。

该岗位为浙大NGICS大平台在招岗位，由大平台考核录用及管理。",,全部行业,,"['午餐补助', '定期体检', '五险一金', '技能培训', '绩效奖金']",2026-05-15 19:27:38.098298,专业技术服务,100-499人,17500.0,23333.0,20416.0,杭州,浙江省,华东地区,100.0,499.0,1.0,经验不限,False,False,2026-05-09,C++开发
C++开发,https://www.liepin.com/job/1982379413.shtml,C++,10-15k,武汉,经验不限,本科,招1人,5月9日更新,武汉创想外码科技有限公司,https://www.liepin.com/company/12543421/,"【岗位职责】
1. 负责C++相关工作的规划、需求分析设计和技术实现；
2. 负责所属模块的代码开发、调试与维护工作；
3. 积极响应客户需求并进行定制化开发和交付；
4. 参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；
5. 协助并完成其他各类技术开发任务。

【任职要求】
1. 具备良好的编程能力和学习能力；
2. 熟悉相关开发工具和框架；
3. 能独立完成开发框架的设计和搭建工作；
4. 具备数据库设计能力；
5. 具备较强的解决问题能力，有较强的协调、沟通能力和团队精神。",普通话,全部行业,,"['高新技术企业', '瞪羚企业']",2026-05-15 19:29:37.891002,IT服务,1-49人,10000.0,15000.0,12500.0,武汉,湖北省,华中地区,1.0,49.0,1.0,经验不限,False,False,2026-05-09,C++开发
C++开发,https://www.liepin.com/job/1982265635.shtml,上位机(C++)技术经理,35-50k,深圳-龙岗区,5年以上,本科,招1人,5月6日更新,深圳摩罗志远科技有限公司,https://www.liepin.com/company/9115715/,"岗位职责：

1.负责上位机软件开发技术管理，擅长 Windows/Mac跨平台开发技术，熟悉Windows/Mac系统驱动开发技术；
2.主导公司音频硬件设备配套上位机软件体系可持续发展的技术规划、架构设计与版本迭代规划；
3.把控产品需求到技术需求和任务的拆解、排期、质量、风险，保证项目按时高质量交付；
4.带领团队解决技术难点，包括设备驱动、设备通信、音频处理、低延迟传输、跨平台兼容性、系统稳定性、系统可维护性和可扩展性等；
5.与硬件团队、产品团队、嵌入式团队和其他应用开发团队紧密协作，推动软硬一体化方案落地；
6.团队建设、招聘、培养、绩效考核与技术氛围提升。
7.关注行业技术趋势，持续优化技术栈与研发效率，支撑业务快速发展。

任职要求：
1、学历与专业：本科及以上学历，计算机科学与技术、软件工程、电子信息工程等相关专业，5年以上软件开发经验，2年以上软件团队管理经验。
2、技术能力：精通上位机软件开发，熟练掌握C++开发语言。熟练使用Qt开发应用软件；熟悉串口、USB、网络等通信协议，熟悉Windows和Mac跨平台开发技术，有智能硬件（音频类优先）上位机开发经验者优先；熟悉软件模块化设计、面向对象编程，具备独立完成核心模块开发和技术攻坚的能力。
3、项目与管理能力：具备完整的应用软件项目全流程管理经验，能高效管控多项目并行；具备优秀的团队管理、人员培养能力，擅长需求拆解、资源分配和进度把控。
4、行业经验：了解智能音频硬件产品的工作原理、调试流程，有研产销一体企业工作经验者优先，熟悉生产自动化优化流程加分。
5、思维与沟通：逻辑清晰，具备良好的需求分析和问题解决能力；沟通协调能力强，能高效对接跨部门协同工作，推动问题闭环。
6、职业素养：对软件技术发展有浓厚兴趣，具备创新意识和攻坚精神，责任心强，能承受一定工作压力，注重细节和软件质量。",普通话,全部行业,,"['高新技术企业', '专精特新企业', '岗位晋升', '扁平管理', '技能培训', '五险一金', '节日礼物', '团队聚餐', '管理规范', '年度旅游', '绩效奖金', '带薪年假', '通讯津贴']",2026-05-15 19:30:04.627731,批发/零售,100-499人,35000.0,50000.0,42500.0,深圳,广东省,华南地区,100.0,499.0,1.0,5-10年,False,False,2026-05-06,C++开发
